Can I Use an Easement That Abuts to My Property	 real
Never Want to Tell the Father	 child
Refusing to Pay for College	 child
New Spouse's Rights to Privacy and Emotional Distress	 child
Can You Secretly Use a Nanny Cam to Monitor the Other Parent's Visitation	 child
Can Emancipation Order Be Fought	 child
Back Child Support Liability for an Adult Child, Unknown to Father	 child
Can My School-Aged Child Be Forced to Fly Unaccompanied	 child
Non Custodial Parent Moves Out of State and Now Wants Extended Vacations with Kids	 child
Just Got Temp. Custody of My Son, What Can Mom Do Now	 child
Ex Wants Sole Legal and Suspend My Visits	 child
Is Mom Going to Be Living High on the Hog	 child
Handing Off Child to Stranger	 child
Are You Still Responsible for Arrears on a Child That’s Proven Not Yours	 child
How to Move Out of State to Be with My Boyfriend So We Can Start Our Life Together	 child
Ex Violating a No Contact Order Between Her Boyfriend and My Kids	 child
How Can I Keep My Ex- From Gaining Access to Our Daughter	 child
How to Terminate Financial Obligation Per Mother's Request	 child
Should Father Talk to Our Child by Skype When He Failed to Show for Visits	 child
Garnishments are Less Than the Amount Owed	 child
Sleeping Arrangements for Children	 child
Getting Custody After a Divorce With False Representation of No Children	 child
Guardian ad Litem Threatens Physical Violence	 child
Modification of Custody in Georgia	 child
Removal of Grandparent Rights and Visitation	 child
Father Moved Out of State, Mother Cannot Afford Visits	 child
Non-Custodial Parent Demanding Transportation	 child
How to Get Modification of Custody With No Lawyer	 child
Collecting Child Support When a Parent is on SSDI	 child
Mother Not Showing Up for Drop Off	 child
Can Waived Arrears Be Reinstated	 child
Incarcerated Parent with Rights and Moving Out of State	 child
Can a Custodial Parent Leave the Child With a Third Party Instead of the Other Parent	 child
Father's Failure to Visit	 child
Why was a Travel Restriction Imposed on Only One Parent	 child
Imputed Wages When a Parent is Undocumented	 child
Custodial Parent Objects to Non-Custodial Parent's Relocation Due to School District	 child
Accused of Prostitution by My Ex- During Custody Proceedings	 child
How to Get Visitation Rights to a Child Born Outside of Marriage	 child
How to Obtain and Submit Evidence for a Custody Case	 child
Getting Custody Rights to a Child Born in Brazil	 child
Non-Custodial Parent Moved Out of the State	 child
How to Handle Visitation Before the Court Issues a Custody Order	 child
Custodial Parent Wants to Reduce and Limit Visitation	 child
Will Child Support be Based on Your Historic Income if You Move to Another Country	 child
How Does Visitation Work if the Non-Custodial Parent is in the Military	 child
Child Support Notice Received Even Though a Different Father is On Birth Certificate	 child
Is Moving Out of the Country Possible if Non-Custodial Parent is Unfit Due to Drugs	 child
How to Get a Court to Nullify Back Child Support	 child
Father Wants Custody Despite Infrequent Contact and Non-Support	 child
Recovering Custody After Achieving Sobriety	 child
Travel and Exchange Times for Visitation	 child
Exercising Visitation in a Home With Housemates	 child
Neglectful Father Has Summoned the Mother to Court for Custody and Visitation	 child
Stepparent Has Requested Visitation While the Parent is Away	 child
Can You Change a Custody Agreement Once You Go to Court	 child
Child Support Arrears and Disability Back Pay	 child
How Good Are My Chances to Receive Sole Custody	 child
Legal Saying That Support Won't Be Reduced For Having More Kids	 child
Grandparents rights in Florida	 child
What is the Effect Of Spousal Support On Child Support Calculation	 child
How To Stop Child Support In Tennessee	 child
Dead Beat Dad Needs Advice	 child
Child Custody And Support	 child
Judge Finds Mother Unfit, Orders Father To Relocate	 child
Visitation, Custody and Paternity In Oregon	 child
Manipulative Father In Child Custody Hearings	 child
Child Support - Harassment Via the Legal System in Virginia	 child
Duped Father	 child
Splitting Up	 child
Parent is Not Providing Court Ordered Health Care	 child
Who Does a Minor's Savings Belong To	 child
Final Court Order vs Notice of Intended Relocation	 child
Negative Arrears  Balance	 child
Child Support from Current Husband for Child of Another Relationship	 child
Problems With Temporary Custody Agreement, Concerns About Mother	 child
Ex Trying to Get Custody Because Mom Works Too Much	 child
Listing Seven Income Sources (Surgical Practices) at "0" for Child Support	 child
Disabled Father That Can't Drive with Joint Custody of Daughter but Mother Won't Let	 child
Why Doesn't Family Court Consider the Cause of Divorce in Determining Custody	 child
Father Seeking Full Custody - Pro Per	 child
Child Custody for Unmarried Parents	 child
How Can a Mother Get Custody Back From the Father	 child
Permanent Resident Seeking Divorce from Old Grumpy Spouse	 child
Mother Kidnapped Child to Avoid Child Support, Refusing to Return Child	 child
When Do You Qualify For a Support Modification	 child
Non-Custodial Parent Arrested for DWI	 child
Custody, Visitation, and Out of State Parent	 child
Can a Judge Order a Parent to Stay at a Hotel	 child
How to Modify Paying Child Support to a Non Biological Parent	 child
Unsupervised Visitation when Child is Ill	 child
Temporary Custody Order Options	 child
Deployed Military Member Custody	 child
How to Restrict Visitation During a Sex Abuse Investigation	 child
Can You Send Somebody to Pick Up Your Kids for Visitation	 child
How Do I Apply to Change Who My Son Lives with the Majority of the Year	 child
Child Support, Custody, and Obligations	 child
Will California State Enforce Support for Someone on Medical and WIC	 child
Do You Have to Follow Custody Orders if the Child is Sick	 child
Parent Held in Contempt After Arranging Marriage of Minor Child	 child
Paying Child Support By Check With Insufficient Funds to Cover Payment	 child
Ex-Spouse Obtained an Ex-Parte Custody Order While I Was Out of Town	 child
My Child Has Turned 18 and Graduated but Support is Still Being Taken from My Check	 child
When Will Child Support Arrears Cause a Passport to be Revoked	 child
Can Custody be Changed if the Custodial Parent's Leaving the Child With Grandparents	 child
Moving Away in Violation of a Custody Order's Notice Provision	 child
Husband Wants to Move Out of State, I Don't Want To	 child
Mother Refuses Visitation and Cut All Contact	 child
Custody Modification in Oregon	 child
Custodial Parent Moved to Neighboring County	 child
Is Home Schooling a Reason to Deny Extended Visits	 child
Moving for Change of Venue After Getting a Temporary Child Support Order	 child
Will I Have to Pay Child Support Arrears if I Didn't Know the Mother's Address	 child
Leaving USA with a Child After Separation	 child
Enforcing a U.S. Custody Order in Puerto Rico	 child
Can I Claim a Conflict of Interest	 child
Motion to Consolidate Child Custody Cases	 child
How to Draft a Visitation Order	 child
Non-Custodial Parent Was Caught Taking the Child's Medication	 child
Coercive Litigation Over Child Support	 child
Can You Collect Unpaid Child Support, 50 Years Later	 child
How to Gain the Right to Relocate to an Adjacent State	 child
Collecting Child Support Arrears from a Parent's Inheritance	 child
How Can a Stepparent Stop a Parent From Disrupting Her Life	 child
Can the Custodial Parent Suspend Visitation After Petitining for a TRO	 child
Establishing Custody After Long-Term Relationship, Not Married	 child
Getting Child Support from a Low-Income Father	 child
Can the State Seek Child Support from a Father if He's Not on the Birth Certificate	 child
How to Get Custody Back When the Other Parent Won't Return a Child After Visitation	 child
How Can I Prevent My Ex- From Getting Custody Rights	 child
How Do You Request an Increase in Child Support	 child
What Happens if a Parent Defaults at a Custody Hearing	 child
Visitation With a Parent Who May be Homeless	 child
How To Minimize Child Support Payments	 child
Texas Father Needs Help	 child
Lowering Child Support	 child
I Want To Live With My Mom, in Washington	 child
Ex Is Trying To Quit Paying Support Before Child Is 18	 child
Sexual Abuse Disclosure By a 9 Year Old	 child
Taking Advantage of Child Support	 child
Grandparents Rights in New York State	 child
Should Custody Be Given to the Father	 child
Giving Up Rights to an Unborn Child and Financial Obligations	 child
Denied Access After Six Months as Primary Caregiver	 child
The Other Parent Left the State After Being Served	 child
Joining Military and May Need to Move Out of State	 child
Disagreement With Final Custody Judgment	 child
Paternity Shows Not the Father - Still Made to Pay Child Support	 child
Waiver of Paternity Rights	 child
Refused Visitation Due to Other Parent's Suspended License	 child
Mother Dead, Grandparents Trying to Take Custody from Father	 child
How to Get Back Child Support	 child
Are Police Calls Grounds for a Change of Custody	 child
Rights of a Father Who Is Not Allowed to See His Children	 child
Sole Custody Over Misunderstanding	 child
Termination of Parental Rights	 child
Is Emergency Custody Possible if Custodial Parent is on the Run	 child
What Are My Rights As a Father	 child
Support for Basic Needs vs Extracurricular Activities	 child
When to File for Contempt of Court	 child
Plane Ride for a Minor	 child
Meddling Grandmother	 child
Does the Custodial Parent Have the Right to Say Who Can Watch the Children	 child
Child Support Bench Warrant From Out-of-State	 child
The Rights of a Mother Against an Absent Father	 child
How to Resolve a Custody Battle	 child
Changing Custody Before the End of Summer Visitation	 child
Spring Break Visitation	 child
What Are Good Grounds to Have a Father's Rights Taken Away	 child
Dad Won't Visit Anywhere but Mom's House	 child
My Son No Longer Wants to See His Biological Mother	 child
Divorce Before a Baby is Born - How to Get a Custody Order	 child
Can a Custodial Parent Get Retroactive Support	 child
Taking a Child on a Trip With Another Man	 child
Husband Took Child Out of State	 child
Ex-Husband Disappeared With Our Child	 child
Divorced Abroad, Ex-Wife Got a Child Support Order in Her Native Country	 child
How to Avoid Grandparent Rights in Michigan	 child
What is a "Substantial Change" to Justify Custody Modification	 child
How Can I Get Custody of My Children	 child
Will Money Held by a Parent as Trustee be Considered for Child Support	 child
Visitation for a Working Teenager	 child
Other Parent is Refusing to Grant Visitation	 child
When Child Graduates High School Are They No Longer a Minor	 child
Can You Claim Economic Hardship to Avoid a Support Increase	 child
Fulfilled Obligation and Arrears	 child
How to Stay Out of My Ex's New Custody Battle	 child
Stepparent Interference with Parent Teacher Conferences and Other Activities	 child
Seeking Custody of an Unborn Child, Mother is Incarcerated	 child
Contempt of Court for Not Paying Six Months of Support	 child
Child Wants to Live with Non Custodial Parent	 child
Voluntary Relinquishment of Rights to End Child Support	 child
Can You Change Custody if a Teen Wants to Live with Father	 child
Getting a Visitation Order After the Pregnant Mother Moves Out of State	 child
What Type of Income Cannot Be Garnished for Child Support	 child
Can Your Parents Sue You for Medical Bills They Paid During Your Childhood	 child
Getting a Custody Order for an Infant	 child
The Other Parent Won't Permit a Family Vacation With Our Teenaged Child	 child
Gaining Custody When You Have a Bench Warrant	 child
Visitation for a Breastfed Infant	 child
Modification of Custody Denied Despite Molestation of a Child	 child
Mother Wants Visitation Changes, Father Will Not Agree	 child
Getting Custody of a Disabled Child	 child
Am I a "Mentally Unfit" Parent	 child
How Can I Change the Frequency of My Son's Visits with His Grandmother	 child
Can You Be Ordered to Pay Child Support to Your Adult Child	 child
Can You Restrict Who Drives the Parent and Child for Visitation	 child
Will a Court Authorize Moving 115 Miles Away from a Disabled Parent	 child
Modifying Custody if a Parent Has No Permanent Place to Live	 child
SSI Scam to Avoid Child Support	 child
Held in Contempt for Failure to Pay a Custody Evaluator Due to Lack of Money	 child
Can a Father Get Equal Custody and Parenting Time With a One-Year-Old Child	 child
Getting Custody of Nephews Already in Your Care	 child
Does a Child's Legal Father Have Custody Rights if He's Not the Biological Father	 child
What is the Typical Outcome of a Custody Case Between Unwed Parents	 child
Is Child Support Increased if the Custodial Parent Has No Income	 child
Filing for Divorce and Custody After Moving to Another State Due to Domestic Violence	 child
If My Ex Doesn't Arrange Pick Up Does He Forfeit His Visitation	 child
What Happens to Visitation if You Miss a Pick-Up Due to a Road Closure	 child
At What Age Can a Child Pick a Parent for Custody	 child
How Hard is it For a Father to Get Custody	 child
Can You Refuse to Allow Visitation if the Other Parent Doesn't Use All of His Time	 child
Can a Parent Still Keep Joint Custody if He's in Prison	 child
Will a Court Consider Ordering Child Care by a Stepparent Instead of a Grandparent	 child
Changing Custody When a Child is Being Severely Emotionally Abused	 child
Seeking Primary Custody and Supervised Visitation Due to the Mother's Substance Abuse	 child
State Received Child Support from Father But Never Sent Payments to the Mother	 child
Can You Move Out of the 50 Mile Radius if the Custodial Parent Does Not Agree	 child
Help with Child Support Fraud and Moving	 child
Moving to Another Country	 child
Grandparents rights in Arkansas	 child
Child Support and Visitation Are Connected	 child
Why Do Fathers Have To Pay So Much?	 child
Child Support Always Late, and Refusal to Contribute to Cost of Eyeglasses	 child
Getting Temporary Guardianship of Suffering Child	 child
Child's Wishes in Ohio	 child
Paying Off Child Support In One Lump Sum	 child
Child Support And Neglect	 child
My Husband Wants Full And Sole Custody Of His Daughter From His Ex	 child
Can I Take His Property	 child
How Will A Criminal Charge Affect My Upcoming Modification Case	 child
Custody or Visitation After a Parent's Death	 child
12 Year Old Boy Doesn't Want to Have Overnight Visitation	 child
100% of Unemployment Insurance Garnished	 child
Child Support During Incarceration	 child
Keeping the Cruel Father Away From a Newborn	 child
What Are My Chances in My Child Custody Case	 child
Change of Venue and Jurisdiction	 child
Father Didn't Show Up for Visitation	 child
Would a Judge Order Me to Sign	 child
Working Out an Agreement for Summer Visitation	 child
Child Custody 30 Day Objection	 child
How to Change to Radius for Relocation with a Child	 child
What Can I Do if Ex Destroys Gifts to Child	 child
Custodial Parent Moved Without Child, Could NCP Get Full Custody	 child
Email As Court Evidence	 child
Custody Challenge Over Fiance's Criminal Record	 child
Crediting Money Sent to Child Toward a Support Arrearage	 child
Child Living with New Boyfriend	 child
How to Start a Custody With an Absent Father	 child
Prevented From Exercising Visitation	 child
My 16 Year Old Boy Wants to Lift the Restraining Order on Me	 child
Non Custodial Parent Just Started Gps Tracking of Our Family	 child
Children Taken to Another State by Ex-Wife Against Custody Papers	 child
Child Custody and Child Support	 child
Child Support at Age 24	 child
Blocked from My Son's Life, but Not Giving Up	 child
Infant Visitation in the Mother's Home	 child
Grandparents Rights in South Carolina	 child
Father's Rights After Mother Abandons the Children	 child
Children Ordered Sent to Foreign Nation Pursuant to the Hague Convention	 child
Knowing the Other Party's Work Schedule	 child
No Court Order - What Are My Visitation and Custody Rights	 child
Do I Have a Good Chance of Custody As a Dad	 child
Can Father Put Mother on Visitation if He is the Custodial Parent	 child
Ex- is At Work During Child Custody Exchange Times, Angry About Missing Visits	 child
Drug Test Ordered by Custody Court	 child
Mother Left for a Year	 child
Ex Refusing to Go by Mediation Agreement	 child
When Does Mandatory Medical Insurance End	 child
I Have Not Seen My Daughter in 19 Days - Father is Holding Her from Me	 child
What Happens After Separation if One Parent Decides to Move	 child
Child Custody and Relocation Concerns	 child
How Much Could Child Support Be	 child
Visitation when Father Physically Abandoned Child	 child
Paying Support and Expenses While Waiting for New Garnishment Order After Job Change	 child
What Happens if Parents with Joint Legal Custody Disagree on Education	 child
Received a Letter Warning of Suspension Due to Unpaid Child Support	 child
How to Get Somebody's License Suspended for Nonpayment of Child Support	 child
Contempt of Court Proceedings for Refusing to Allow Visitation	 child
Ex Doesn't Honor His Visitation Rights	 child
Can I End Child Support if My Daughter is Pregnant	 child
How Does Adultery Affect Custody	 child
Do You Need a Court Order to Move to Another State With The Other Parent's Permission	 child
Terminating Support for an Employed Adult Child Who Still Lives at Home	 child
Can You Move With the Children to Another State if Your Spouse Moves Out	 child
One Night Stand with Married Woman Leads to Child	 child
Child Support Order Issued by a Second State for the Same Children	 child
Can a Child be Held in Contempt for Refusing to Obey a Custody Order	 child
Challenging the Mental Health of the Other Parent in a Custody Case	 child
Submitting a Letter to the Judge in a Custody Case	 child
Teenager Refuses Visitation and Communication	 child
Starting Contempt of Court Proceedings for Child Support	 child
Will a Father be Ordered to Pay Half of the Medical Bills for Child	 child
Enforcing Child Support After Custodial Parent and Children Move to Another State	 child
Exercising Visitation After a Parent Moves When Terms of Order Specify the State	 child
How to Get Primary Custody Back from a Non-Parental Guardian	 child
If a Stepparent Adopts a Child Are They Liable for Their Spouse's Support Arrears	 child
How Can a Parent Get Released from Jail After Arrest for Non-Payment of Support	 child
Can You Get Custody of a Younger Sibling by Alleging Neglect	 child
Can Support Arrears be Paid to an Adult Child Instead of the Parent	 child
Is the Custodial Parent Entitled to a Detailed Vacation Itinerary	 child
How to Get a Court to Keep My Wife's Violent Boyfriend Away from the Children	 child
Can a Joint Legal Custodian Take the Child Out of State	 child
Can a Father Make a Child Visit for the Summer Against His Wishes	 child
Filing a Contempt Petition Without a Lawyer	 child
Dad's at Work During Visitation	 child
What Happens if a Parent Fails to Appear for a Temporary Custody Hearing	 child
Mother is Seeking Child Support After Telling the Father She Didn't Want Him Involved	 child
Can the Non-Custodial Parent Take a Default Custody Order Back to Court	 child
Recourse When the Other Parent and a Social Worker Violate Court Orders	 child
How to Seek Third Party Custody After the Death of a Parent	 child
Will a Court Continue an Order for Supervised Visitation After a Two Year Absence	 child
Seeking Custody of a Four-Year-Old Child I Just Found Out that I Have	 child
Collecting Child Support After Lying to the Father About His Paternity	 child
Father is in a Custody Battle With the Maternal Grandparents	 child
Can You Get Custody of a Neglected Younger Sibling	 child
Can a Grandparent With Custody Get Child Support from the Parents	 child
Withholding Children from Summer Visitation for Summer School or Activities	 child
Can You Modify Child Support After a Job Loss	 child
Can You Relocate With a Young Child if You Were Never Married	 child
What Will Happen if You Drop Your Custody Case	 child
Not Personally Served Papers but Still Being Held Responsible	 child
Do My Parents Owe Child Support for My Son	 child
Under Age Child Refuses to Come for Visitation	 child
Custody of My Child	 child
How Will My Ex's Hostile Online Posts Affect My Asking for Joint Custody	 child
Calling Another Man "Daddy"	 child
Birth Certificate	 child
Child Refuses to Return After Summer Visit	 child
Custodial Parent Moving with Child Out of State	 child
Almost 4 Years and Still Missing My Son	 child
Custody Dispute With a Registered Sex Offender	 child
Exactly How Much Child Support Should I Be Paying	 child
16 Year Old No Longer Wants to Live with His Father	 child
Child Support Amount is Based on Old Job	 child
Non-Custodial Parent Picked Up Child from School	 child
Child Custody Issue for a Newborn	 child
Infant, Mother Moved Out of State, Father Seeking Advice (No Paternity Yet)	 child
How to Stop Medication	 child
Mother Signed Over Custodial Rights - Can She Get It Back	 child
Time to stand up	 child
Visitation rights for a father that has been in prison	 child
What to do about back child support	 child
Just Found Out About Paternity	 child
Child Support and Adoption in Tennessee	 child
Father Wants Custody Of His Infant Daughter in Louisiana	 child
At What Age Can A Child Decide Custody?	 child
At What Age Can A Child Choose?	 child
Will The Court Issue a Warrant Following Unemployment and Inability to Pay Support	 child
Grandparents Rights If A Parent Gives Up Her Rights	 child
Chid Support Arrears Causing Hardship	 child
Notice Regarding Payment Of Support	 child
6 Week Old Baby - What Are My Rights?	 child
Need Help To Allow Child To See Both Parents	 child
Fraudulent Support Filing	 child
Child Support Enforcement And Modification	 child
Paying Child Support Before The Garnishment Order Is Entered	 child
Modifying Parenting Plans And Visitation Schedules	 child
Child Support Plus 1/2 Medical, Dental and Child Care	 child
Is Child Support Reduced when Father Has Another Child	 child
Is There Any Hope Left	 child
Psych Eval for Custody	 child
DHS Won't Reduce Child Support Despite Children in Another State	 child
Can a Judge Order Hair Folicle Testing	 child
When Does the Home State Lose Jurisdiction Under the UCCJEA	 child
Mom Denying Visitation	 child
Paternal Grandmother Wants My Daughter	 child
Preventing Child's Testimony in Custody Case Due to Pending Criminal Charge	 child
Imputing Income to a Custodial Parent Who Stopped Working After Birth of Child	 child
Parent Signing Over Rights to Grandparent	 child
How to Disqualify a Judge	 child
Changing Child's School; Ex Parte and Order Shortening Time	 child
Changing a Visitation Order	 child
Going to Children's Activities or Having Them Come Over While on Other Parent's Time	 child
Child Support Will Cause Hardship	 child
Default Schedule for Visitation Unless Parents Agree	 child
Ex Wants to Take My Legal Custody Away	 child
Can They Force My 16 Year Old Daughter to Go on Visitation	 child
Visit Denied over Claim of Child's Illness	 child
Joint Custody, Primary Custodian Wants to Move	 child
Christmas Visit With Long Distance Between Homes	 child
Wife in Prison, Separated Husband Wants to Move Children Out of State	 child
What Can a Respondent Expect in Court for Contempt and Enforcement of Support	 child
Jurisdiction for an International Custody and Child Support Case	 child
Do I Have a Case for Custody	 child
Overpaid Child Support, Incarceration and Arrears	 child
Can You Get Your Child Support Lowered	 child
How to Introduce Mental Health Testimony	 child
How Can You Have Child Support Canceled and Your Arrears Forgiven	 child
Can a Sex Offender Keep Her Custody Rights	 child
Filed Motion for Contempt of Court for Denied Time-Sharing	 child
Non-Custodial Mother Hasn't Used Her Visitation	 child
Are Arrears Considered When Child Support is Calculated	 child
Changing Jurisdiction of Child Support Order	 child
Personal Child Support Agreement	 child
Out-of-State Grandparent Wants Visitation	 child
Vacation Request	 child
Not Informed that Child Missed School Due to Illness	 child
Short Notice International Relocation Order	 child
Can You Get Out of Paying Child Support if You Were a Minor When Baby Was Conceived	 child
Can My Husband Who Molested Children in the Past Get Unsupervised Visitation	 child
Immature Father's Custody Rights and Support Obligations	 child
Modification of Child Support in California	 child
Not Returning Daughter at Appointed Time	 child
Getting Child Support From a SSI Recipient	 child
Changing Custody Based on the Custodial Parent's Lifestyle	 child
Taking Children into a Casino	 child
Expenses After Child Support Paid	 child
Can I Refuse Visitation if Our Child Would Have to Fly Unattended	 child
Claiming Dependents on a New Order	 child
Moving to Another State Against the Non-Custodial Parent's Wishes	 child
Should You Pay Child Support Before it's Ordered by a Court	 child
Father Suing for Parental Responsibilities Reinstatment After 7 Years	 child
How to Get Custody Jurisdiction Changed Based on the Other Party's Misconduct	 child
How to Get Rid of Arrears when the Custodial Parent Consents	 child
Compelling Regular Dental Care and Vaccinations	 child
Getting Permission to Move with a Child Over the Father's Objection	 child
Can You Get Custody Modified Based on a Stepparent's Illness	 child
Dividing Custody of an Infant Equally Between Parents	 child
Consequences of a Parent's Preventing Child Visitation	 child
Custody After Death of Primary Caregiver	 child
Child Custody Changes	 child
Filing for Divorce with a Custody Battle	 child
Establishing Custody Rights When You're Not the Biological Father	 child
Does the Non-Custodial Parent Have the Right to Know the Child's Daycare Provider	 child
Custody Dispute Between Grandparents and the Biological Father, Mother is Deceased	 child
Division of Daycare Expenses When a Parent Owns the Daycare	 child
What Happens When You Mediate Child Custody and Visitation Issues	 child
Getting Child Support for a Child Living Outside of the United States	 child
What Happens if a 17-Year-Old Refuses to Stay With a Parent	 child
Non-Parent Filed for Visitation of My Son	 child
Can You Relocate and Then File for Custody in the New State	 child
Suspending Visitation After a Non-Custodial Parent's Arrest	 child
Grandmother Wants to Go to Court for a Visitation Schedule Over Holiday Visits	 child
Custodial Parent Has Never Had My Child but She Gets the Child Support	 child
Are Grandparents Entitled to Same Visitation Their Deceased Child Would Have Had	 child
Order of No Contact With My Child Pending Substance Abuse Evaluation and Testing	 child
Visitation Without Paternity	 child
Can a Boyfriend's Negative Statements About the Other Parent Affect Custody	 child
Emergency Custody Order Obtained While a Child was Visiting a Grandparent	 child
Modification of Custody Without Proving Endangerment	 child
What Do You Need to Do to Modify Sole Custody to Joint Custody	 child
Father is Seeking Modification of Custody Due to Mother's Incarceration	 child
Oldest Child Wants to Stay with the Non-Custodial Parent	 child
Seeking Relocation With a Pending Motion to Modify Custody	 child
How to Recover Custody of My Children from My Mother	 child
Default Custody Order Issued After Service on an Old Address	 child
How to Get Sole Custody After Abandonment	 child
Child Care and Child Support	 child
How to Modify Child Support if You are Disabled or Not Able to Earn an Income	 child
What to Do About a Child's Meltdowns at Visitation	 child
Can You Be Ordered to Pay Child Support Back to Birth if You Contact Your Adult Child	 child
How to Enforce a Custody Order if the Custodial Parent Disappears With the Children	 child
Should a Military Member File for Custody Before or After Deployment	 child
Mother Wants to Relocate with Young Toddler	 child
Modifying Summer Visitation	 child
Can You Stop Your Ex from Exposing Your Child to His Girlfriend and Her Family	 child
Can the Custodial Parent Ban a Stepparent from School Assemblies and Conferences	 child
Mother Signed Away Custody of Child and Child Was Moved to Another State	 child
How Does Net Worth Affect Child Support	 child
Removing a Right of First Refusal for Child Care	 child
Can an Absent Parent Get Joint Custody of the Children	 child
Can You Give Custody to a Relative Without Notifying the Other Parent	 child
How is Custody Affected if the Non-Custodial Parent Moves Out-of-State	 child
Child Support Termination While a Child is in a GED Program	 child
Payment of Child Support Arrears After a Child Reaches Adulthood	 child
Can a Parent Take Custody After Leaving the Children With the Other Parent	 child
Who Has Custody if Parents are Unmarried, in North Carolina	 child
Paternity Rights in FL- mother and child in NH	 child
Joint legal and physical custody	 child
Child support reopened	 child
What Matters in Child Custody Disputes	 child
Paying Child Support For 19-Year-Old High School Student	 child
Should I Tell Him I'm Filing	 child
Visitation Of Nephews And Nieces	 child
Does a Doctor's Office Have to Honor Parental Rights	 child
Scheduling Exchanges for Visitation	 child
Father Has No Visitation Rights	 child
Disclosure At Child Support Hearing - Need Advice	 child
Expired Court Order - Visitation Threatened	 child
Child Support Determination And Procedures	 child
Service By Mail Or In Person?	 child
Notifying DSCE In Missouri	 child
Collecting Child Support Arrears	 child
Grandparental Rights	 child
Post Majority Child Support	 child
I'm Married And Had Someone Else's Child	 child
Public Benefits Resulting In Support Arrearage	 child
Emergency Custody In Tennessee	 child
Can You Be Ordered to Pay Child Support After Age 19?	 child
Child Custody With Unplanned Pregnancy, Non-Monogamy, Evil Step Mother	 child
Drugs Found in Home by Child	 child
Can't Afford Guideline Support	 child
Afraid I Will Lose My Son	 child
Sole Custody	 child
Ex Husband Not Following Court Order	 child
How to Collect Child Support From a Parent on Permanent Disability	 child
Child Support Payments in Illinois	 child
Stepparents Rights	 child
How to Figure Mileage Credit for Child Support	 child
Child Support Settlement	 child
Modify Support While Working Under the Table	 child
Overcharged Child Support After Undisclosed Change of Child Care Expenditures	 child
Parental Custody Upon Death of Spouse	 child
Ex Threatens to Kill 4 Year Old Little Boy	 child
No Court Papers, Husband Took Kid, No Medicine	 child
Keeping My Children Safe	 child
Spending of Child Support	 child
Can I Be Ordered to Move Back to Original State	 child
Custody Battle	 child
Visitation Against the Wishes of a 14 Year Old	 child
What Does it Mean to Have Sole Physical and Legal Custody and Liberal Visitation	 child
Husbands Affair With a  Married Woman Resulting in a Child	 child
Custody and Visitation Between Unmarried Parents, 4 Month Old	 child
Girlfriend is Still Married and Pregnant with My Child	 child
Father Not Paying Child Support	 child
Illegal Alien is Father, Does He Have Rights	 child
Visitation Issues	 child
14 Year Old's Rights in a Custody Case	 child
Getting Custody Rights Without a Biological Relationship	 child
Relocating  to Another State During Custody Litigation	 child
Likelihood of Sole Physical and Legal Custody Continuing	 child
Unfit Parent	 child
Paternal Grandmother Took Baby and Refuses to Give Him Back	 child
Modification of Support Due to "Disability"	 child
How Can a Father Give Up His Rights to Avoid Paying Child Support	 child
Homemaker's Potential Income	 child
Non-Custodial Parent Giving His Parents Permission to Take Child to Counselor	 child
Out of State Vacations	 child
How Can I Prove the Parent is Unfit	 child
Wife Left, Took Child to Another State	 child
How Can a Father Get Custody Changed	 child
Father on Disability for Social Anxiety and Depression Not Able to Care for Child	 child
Married Father's Custody Rights	 child
Step-Mom Took Our Child in for Braces	 child
Truancy Letter from School	 child
Can I Relocate to Europe with an Email As Approval	 child
Custody Rights to a Child Born Abroad	 child
No Custody Agreement, Keeping My Daughter	 child
Does Child Become Emancipated if He Drops Out of School	 child
Child Support Payment Suddenly Lowered in New York	 child
How to Change an Order when Other Parent is Not Using Their Time	 child
Baptism Without Consent	 child
I Don't Think My Ex- Should Get Any Visitation	 child
Becoming a Police Officer with a Criminal Record	 employment
Law Modifying Contract Rights	 employment
Fired For Not Getting Along With The Company President	 employment
Workplace Signing Me Up For Health Insurance Without My Consent	 employment
My Employer is Pocketing My Aflac Deductions	 employment
Negative References are Defamation	 employment
Is It Legal to Keep Employee Promotions Secret	 employment
Expense Reimbursement	 employment
Bonus Withheld After Termination	 employment
Can I Be Fired for Being Disliked	 employment
Options if Employer Does Not Honor Published Vacation Policy	 employment
Fired for Talking to a Celebrity	 employment
When Can Old Criminal Charges Be Seen on a Background Check	 employment
Fired After Refusing to Sign a Disciplinary Write-Up	 employment
Retaliation for Company Survey	 employment
Former Employer is Demanding Money for Expenses it Authorized	 employment
Panic Disorder and Employment	 employment
Sending in Statement for Fact Finding Interview	 employment
Possible Discrimination Against 80% of the Department	 employment
What Does it Mean to be Able and Available to Work	 employment
Ordered to Pay $16,000 Back to Unemployment	 employment
Remote Worker Forbidden for Working from Overseas	 employment
Employees' Right to Meal Breaks	 employment
Can I Still Become a Police Officer With a Simple Battery Charge	 employment
When Will Getting Caught Stealing Affect Employment	 employment
Terminated for Misconduct Without Written Warning	 employment
Can You Still Get Severance if You Refuse to Sign a Release of Legal Claims	 employment
Legal Rights to Personal Property After Termination	 employment
Informed Employer About My Criminal Record, Fired Due to Conviction Date	 employment
Will Ordinance Violations Show Up in a FDIC Background Check	 employment
Not Given Promised Bonuses	 employment
Denied Unemployment Due to a History of Poor Attendance	 employment
Termination of a Disabled Employee	 employment
